鄉鎮市區,交易標的,土地移轉總面積平方公尺,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,主建物面積,附屬建物面積,陽台面積,電梯,縣市名稱,郵遞區號,交易年,交易月,交易日,建物坪數,單坪價格,建築完成年,建築完成月,建築完成日,交易時屋齡,車位有無,PK_key,latitude,longitude,郵遞區號6碼,土地位置建物門牌
中山區,房地(土地+建物),25.0,土地1建物1車位0,四層,四層,2,住家用,鋼筋混凝土造,70.0,2,1,1,有,無,10000000,,0.0,0,,61.2,0.0,8.8,0,台北市,104,2017,11,13,21.175,472255.0177095632,1976,4,22,41,0,RPPPMLOKJIMFFCA47CA,25.067681,121.540852,,臺北市中山區龍江路４１２巷１號四樓
中山區,房地(土地+建物),7.16,土地1建物1車位0,七層,十四層,1,住家用,鋼筋混凝土造,71.8,2,2,1,有,有,13880000,,0.0,0,,44.29,0.0,7.73,1,台北市,104,2017,10,23,21.7195,639057.0685328852,1988,6,13,29,0,RPTPMLOKJIMFFCA87CA,25.046292,121.531277,,臺北市中山區新生北路一段４８號7樓
中山區,房地(土地+建物),9.87,土地1建物1車位0,四層,九層,3,見其他登記事項,鋼筋混凝土造,56.03,1,1,1,有,無,10500000,,0.0,0,,26.82,2.87,3.54,1,台北市,104,2017,10,2,16.949075,619502.8342254666,2015,12,24,2,0,RPOPMLLLJIMFFCA17CA,25.0609228,121.5248878,,臺北市中山區錦州街２３巷１２號四樓之２
中山區,房地(土地+建物),1.72,土地1建物1車位0,三層,十二層,5,住商用,鋼筋混凝土造,21.09,0,0,0,無,有,4300000,,0.0,0,,13.95,0.0,3.1,1,台北市,104,2017,9,26,6.379725,674010.2433882338,1977,11,2,40,0,RPTNMLNLJIMFFCA67CA,25.046457,121.532689,,臺北市中山區松江路８號三樓之１３
中山區,房地(土地+建物)+車位,7.4,土地1建物1車位1,十二層,十二層,1,住家用,見其他登記事項,100.92,1,1,1,有,有,17800000,坡道平面,45.39,2250000,,29.95,3.1,2.87,1,台北市,104,2017,10,31,30.5283,583065.549015176,2016,6,2,1,1,RPTOMLOLJIMFFCA87CA,25.0566901,121.5266692,,臺北市中山區新生北路二段６８巷８號１２樓之６
中山區,房地(土地+建物),2.67,土地1建物1車位0,十三層,十三層,5,住家用,鋼筋混凝土造,35.14,0,0,0,無,有,6280000,,0.0,0,,25.74,0.0,0.0,1,台北市,104,2017,9,28,10.62985,590789.1456605691,1981,12,8,36,0,RPVNMLQLJIMFFCA18CA,25.046285,121.532707,,臺北市中山區松江路２號十三樓之５
中山區,房地(土地+建物)+車位,9.48,土地1建物2車位1,十一層,十二層,1,住家用,鋼筋混凝土造,102.7,2,1,1,有,有,23440000,升降機械,14.05,0,親友、員工或其他特殊關係間之交易。畸零地或有合併使用之交易。,54.15,3.2,0.0,1,台北市,104,2017,10,12,31.06675,754504.41388301,2004,2,11,13,1,RPWQMLOLJIMFFCA38CA,25.06657,121.52367,,臺北市中山區德惠街１０號十一樓之１
中山區,房地(土地+建物),6.89,土地1建物1車位0,十層,十四層,1,住家用,見其他登記事項,81.85,0,0,0,無,有,23050000,,0.0,0,,44.23,0.0,5.75,1,台北市,104,2017,10,19,24.759625,930951.094776274,2016,4,11,1,0,RPXOMLRJKIMFFCA48CA,25.048218,121.539741,,臺北市中山區長安東路二段１６６號十樓之５
中山區,房地(土地+建物)+車位,7.13,土地1建物1車位2,十層,十四層,1,住家用,見其他登記事項,136.26,0,0,0,無,有,26600000,坡道機械,52.72,3100000,,45.26,0.0,5.75,1,台北市,104,2017,9,23,41.21865,645338.9424447429,2016,4,11,1,1,RPOPMLRJKIMFFCA67CA,25.048218,121.539741,,臺北市中山區長安東路二段１６６號十樓之３
中山區,房地(土地+建物),5.1,土地1建物1車位0,七層,十層,5,住家用,鋼筋混凝土造,40.86,1,1,1,有,有,6500000,,0.0,0,含增建或未登記建物。,25.13,0.0,7.12,1,台北市,104,2017,9,18,12.36015,525883.5855551915,1984,7,14,33,0,RPSNMLTKJIMFFCA18DA,25.060244,121.524085,,臺北市中山區錦州街１６號７樓之２
中山區,房地(土地+建物),21.44,土地1建物1車位0,三層,七層,3,住家用,鋼筋混凝土造,131.37,3,2,2,有,無,28600000,,0.0,0,含增建或未登記建物,104.59,0.0,13.21,1,台北市,104,2017,10,11,39.739425,719688.3195969746,1986,2,18,31,0,RPUOMLQKJIMFFCA18DA,25.064495,121.541372,,臺北市中山區五常街９５號３樓
中山區,房地(土地+建物)+車位,11.91,土地1建物1車位1,三層,十九層,1,住家用,鋼骨鋼筋混凝土造,185.73,4,2,2,有,有,8500000,坡道平面,33.33,0,親友間之交易。,100.28,4.65,4.28,1,台北市,104,2017,9,12,56.183325,151290.4407135035,2016,3,22,1,1,RPRPMLMKKIMFFCA57CA,25.0560495,121.5268148,,臺北市中山區新生北路二段６２巷１２號三樓之３
中山區,房地(土地+建物),1.8,土地1建物1車位0,十一層,十二層,1,住商用,鋼筋混凝土造,19.93,2,1,1,有,有,2650000,,0.0,0,,15.28,0.0,0.0,1,台北市,104,2017,10,28,6.028824999999999,439554.9713252583,1980,7,21,37,0,RPOQMLOLJIMFFCA57CA,25.056114,121.527201,,臺北市中山區新生北路二段６６號十一樓之２
中山區,房地(土地+建物),3.52,土地1建物1車位0,十層,十二層,5,住家用,鋼筋混凝土造,35.620000000000005,0,0,0,無,有,5500000,,0.0,0,,24.12,0.0,0.0,1,台北市,104,2017,9,29,10.77505,510438.4666428462,1981,4,23,36,0,RPVOMLOKJIMFFCA97CA,25.057927,121.526486,,臺北市中山區民生東路一段７２號十樓之５
中山區,房地(土地+建物),27.75,土地1建物1車位0,四層,四層,2,住家用,鋼筋混凝土造,79.95,4,4,4,有,無,12000000,,0.0,0,含增建或未登記建物。,75.1,0.0,4.85,0,台北市,104,2017,10,30,24.184875,496177.8797698975,1971,12,31,46,0,RPQNMLRKJIMFFCA67CA,25.067554,121.530564,,臺北市中山區吉林路４５５號４樓
中山區,房地(土地+建物),14.13,土地1建物1車位0,一層，地下層,五層,2,住家用,鋼筋混凝土造,56.78,2,2,1,有,無,5050000,,0.0,0,親友、員工或其他特殊關係間之交易。二親等買賣,55.45,0.0,0.0,0,台北市,104,2017,10,11,17.17595,294015.7604091768,1993,9,21,24,0,RPSPMLPKJIMFFCA87CA,25.050425,121.541865,,臺北市中山區遼寧街６２巷１４號
中山區,房地(土地+建物),9.89,土地1建物1車位0,二層,十三層,1,住家用,鋼筋混凝土造,73.15,2,1,1,有,有,12000000,,0.0,0,,25.22,1.78,3.41,1,台北市,104,2017,10,3,22.127875,542302.4126808381,2008,6,2,9,0,RPOPMLQKJIMFFCA57CA,22.754743,121.146967,,臺北市中山區市民大道三段１６９號2樓之2
中山區,房地(土地+建物)+車位,57.19,土地1建物1車位1,十層,十層,3,住家用,鋼筋混凝土造,184.36,3,2,2,有,有,35500000,坡道平面,0.0,0,含增建或未登記建物。,91.25,3.23,9.98,1,台北市,104,2017,10,15,55.7689,636555.4995705491,2000,4,26,17,1,RPUPMLOKJIMFFCA97CA,25.079943,121.562307,,臺北市中山區樂群二路282號10樓之1
中山區,房地(土地+建物)+車位,31.48,土地1建物1車位0,五層，夾層,五層,3,住家用,鋼筋混凝土造,128.23000000000002,3,2,2,有,有,22280000,塔式車位,8.46,0,含增建或未登記建物。,75.1,0.0,8.58,0,台北市,104,2017,10,6,38.789575000000006,574381.1320438544,2005,8,12,12,1,RPRPMLOKJIMFFCA67CA,25.061234,121.520572,,臺北市中山區天祥路16巷9號5樓
中山區,房地(土地+建物),6.92,土地1建物1車位0,六層,六層,5,商業用,鋼筋混凝土造,47.47,0,0,0,無,無,7800000,,0.0,0,,23.45,12.02,4.36,1,台北市,104,2017,10,23,14.359675,543187.7810605045,1997,6,28,20,0,RPUNMLQKJIMFFCA97CA,25.05583,121.52618,,臺北市中山區新生北路二段６０巷４３號六樓
中山區,房地(土地+建物),3.54,土地1建物1車位0,七層,十四層,5,住家用,鋼筋混凝土造,34.0,1,1,1,有,有,6300000,,0.0,0,,19.85,0.32,2.59,1,台北市,104,2017,10,22,10.285,612542.5376762275,2008,3,12,9,0,RPQQMLRKJIMFFCA97CA,25.065328,121.524851,,臺北市中山區雙城街１９巷８號七樓之１１
中山區,房地(土地+建物),12.78,土地1建物1車位0,四層,五層,2,住家用,鋼筋混凝土造,46.010000000000005,1,1,1,有,無,6500000,,0.0,0,,37.34,1.22,0.0,0,台北市,104,2017,10,20,13.918025000000002,467020.284846449,1988,10,24,29,0,RPUPMLLLJIMFFCA77CA,25.051608,121.524799,,臺北市中山區林森北路１３８巷１３號四樓之１
中山區,房地(土地+建物),8.57,土地2建物1車位0,十層,十三層,1,住家用,鋼筋混凝土造,88.13,2,2,1,有,有,13500000,,0.0,0,,69.0,0.0,2.75,1,台北市,104,2017,8,31,26.659325,506389.4153359097,1984,9,27,33,0,RPUOMLOKKIMFFCA97CA,25.059762,121.525709,,臺北市中山區林森北路４１３號十樓之８
中山區,房地(土地+建物),21.99,土地2建物1車位0,十四層,十九層,1,住家用,鋼骨鋼筋混凝土造,208.01,4,2,3,有,有,49000000,,0.0,0,含增建或未登記建物。,130.91,5.26,10.88,1,台北市,104,2017,9,26,62.923025,778729.2489513974,2009,9,16,8,0,RPPNMLQLJIMFFCA67DA,25.0561018,121.5281534,,臺北市中山區新生北路二段５３之２號１４樓
中山區,房地(土地+建物)+車位,7.42,土地1建物1車位2,十層,十四層,1,住家用,見其他登記事項,140.01,0,0,0,無,有,29000000,坡道機械,52.72,2600000,,47.62,0.0,5.58,1,台北市,104,2017,10,24,42.353025,684720.8670455061,2016,4,11,1,1,RPVNMLSKKIMFFCA38CA,25.048218,121.539741,,臺北市中山區長安東路二段１６６號十樓之１
中山區,房地(土地+建物),6.57,土地2建物1車位0,十一層,十一層,1,住家用,鋼筋混凝土造,51.620000000000005,2,1,1,有,有,9750000,,0.0,0,,35.51,0.0,3.09,1,台北市,104,2017,11,3,15.61505,624397.6164021249,1978,3,1,39,0,RPRNMLNLJIMFFCA47CA,25.065407,121.528041,,臺北市中山區新生北路三段４３號十一樓之１２
中山區,房地(土地+建物)+車位,5.82,土地1建物1車位1,六層,十二層,1,商業用,鋼筋混凝土造,40.03,2,1,1,有,有,2330000,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。,22.75,0.86,2.4,1,台北市,104,2017,10,24,12.109075,192417.6702184105,2000,10,26,17,1,RPWNMLLLJIMFFCA77CA,25.058604,121.525111,,臺北市中山區民生東路一段２７巷１１號六樓
中山區,房地(土地+建物),4.94,土地1建物1車位0,六層,六層,5,商業用,鋼筋混凝土造,37.16,1,1,1,有,有,6000000,,0.0,0,,27.59,0.0,9.57,1,台北市,104,2017,11,6,11.240899999999998,533765.0899838982,1978,4,27,39,0,RPXNMLLLJIMFFCA87CA,25.061795,121.523532,,臺北市中山區中山北路二段１３７巷１號六樓之１
中山區,房地(土地+建物)+車位,22.52,土地2建物1車位3,五層,十四層,1,住家用,見其他登記事項,348.93,3,1,2,有,有,85580000,坡道平面,28.5,6000000,,159.16,7.03,12.99,1,台北市,104,2017,9,27,105.551325,810790.3903622242,2011,6,16,6,1,RPVOMLRKJIMFFCA28CA,25.049013,121.543716,,臺北市中山區復興北路２８號五樓之２
中山區,房地(土地+建物),6.44,土地1建物1車位0,七層,十三層,5,住家用,鋼筋混凝土造,49.7,0,1,1,有,有,13100000,,0.0,0,含增建或未登記建物。,25.47,3.2,4.19,1,台北市,104,2017,10,6,15.03425,871343.7650697574,2010,3,18,7,0,RPTOMLQKJIMFFCA97CA,25.051368,121.536321,,臺北市中山區建國北路一段150號7樓之2
中山區,房地(土地+建物),6.38,土地1建物1車位0,四層,十四層,1,住家用,鋼筋混凝土造,58.49,3,1,1,有,有,11480000,,0.0,0,含增建或未登記建物。,34.56,0.0,3.19,1,台北市,104,2017,10,14,17.693225,648835.9244852195,2003,6,18,14,0,RPUOMLRKJIMFFCA18CA,25.065031,121.524022,,臺北市中山區農安街19號4樓之5
中山區,房地(土地+建物)+車位,4.57,土地1建物1車位1,四層,十四層,1,住家用,鋼筋混凝土造,62.94,1,1,1,有,有,8700000,坡道平面,0.0,0,,23.49,0.25,2.74,1,台北市,104,2017,10,29,19.03935,456948.37271230377,2003,1,22,14,1,RPUPMLNLJIMFFCA97CA,25.0611441,121.5257413,,臺北市中山區林森北路483號4樓之5
中山區,房地(土地+建物),19.8,土地2建物1車位0,六層,七層,3,住家用,鋼筋混凝土造,108.33,2,2,1,有,無,21500000,,0.0,0,,82.2,0.0,12.81,1,台北市,104,2017,10,5,32.769825,656091.3889530995,1983,7,15,34,0,RPWNMLQLJIMFFCA28CA,25.080746,121.547974,,臺北市中山區北安路５６５巷１號六樓之１
中山區,房地(土地+建物),3.88,土地1建物1車位0,二層,九層,3,商業用,鋼筋混凝土造,31.950000000000003,0,0,0,無,有,5000000,,0.0,0,,18.87,0.49,5.76,1,台北市,104,2017,11,10,9.664875,517337.2650965481,1995,8,23,22,0,RPTOMLKMJIMFFCA57CA,25.063728,121.521924,,臺北市中山區撫順街２號二樓之５
中山區,房地(土地+建物),14.51,土地1建物1車位0,六層,十二層,1,商業用,鋼筋混凝土造,149.66,3,2,1,有,有,28300000,,0.0,0,含增建或未登記建物。,116.17,0.0,9.0,1,台北市,104,2017,9,23,45.27215,625108.3723657922,1980,8,22,37,0,RPRQMLRKJIMFFCA18DA,25.053955,121.5438697,,臺北市中山區復興北路１７４號６樓
中山區,房地(土地+建物)+車位,23.75,土地1建物1車位1,五層,十四層,1,住家用,鋼筋混凝土造,139.88,3,2,2,有,有,31500000,坡道平面,34.57,2500000,含增建或未登記建物。,81.91,1.94,7.87,1,台北市,104,2017,8,21,42.3137,744439.7441017921,1994,6,14,23,1,RPQQMLOJKIMFFCA77DA,25.078101,121.549365,,臺北市中山區明水路３９７巷７弄２３號５樓
中山區,房地(土地+建物),13.63,土地4建物1車位0,四層,九層,3,住家用,鋼筋混凝土造,92.12,2,2,2,有,有,12200000,,0.0,0,,71.66,0.0,7.14,1,台北市,104,2017,9,18,27.8663,437804.80365172273,1976,9,7,41,0,RPQOMLSKKIMFFCA97CA,25.065979,121.528078,,臺北市中山區新生北路三段６１號四樓之６
中山區,房地(土地+建物),44.5,土地1建物1車位0,一層,四層,2,住家用,鋼筋混凝土造,100.52,3,2,2,有,無,26000000,,0.0,0,權利人等二人.可使用壹樓空地. 前院側邊增建,87.81,12.71,0.0,0,台北市,104,2017,10,19,30.4073,855057.8315075657,1975,5,5,42,0,RPRNMLRJKIMFFCA77CA,25.058859,121.538159,,臺北市中山區合江街１０２巷２１號
中山區,房地(土地+建物),32.0,土地1建物1車位0,一層,四層,2,住家用,鋼筋混凝土造,90.16,0,0,1,有,無,23500000,,0.0,0,,79.56,10.6,0.0,0,台北市,104,2017,11,3,27.2734,861645.4127464857,1975,5,30,42,0,RPWNMLMLJIMFFCA87CA,25.06092,121.54049,,臺北市中山區龍江路２８６巷２號
中山區,房地(土地+建物),7.23,土地1建物1車位0,十二層,十二層,1,住家用,見其他登記事項,55.53,1,1,1,有,有,15300000,,0.0,0,,29.95,3.1,2.87,1,台北市,104,2017,11,8,16.797825,910832.2059552352,2016,6,2,1,0,RPSOMLOLJIMFFCA77CA,25.0566901,121.5266692,,臺北市中山區新生北路二段68巷8號十二樓之7
中山區,房地(土地+建物),8.41,土地1建物2車位0,十二層,十六層,1,商業用,鋼筋混凝土造,61.96,0,0,0,無,有,14000000,,0.0,0,,44.22,0.0,0.0,1,台北市,104,2017,10,25,18.7429,746949.511548373,1996,12,5,21,0,RPTPMLQJKIMFFCA08CA,25.054245,121.543804,,臺北市中山區復興北路１７８號十二樓之３
中山區,房地(土地+建物),5.83,土地1建物1車位0,六層,十四層,1,商業用,鋼筋混凝土造,69.45,2,1,1,有,有,16630000,,0.0,0,含增建或未登記建物。,41.28,0.0,4.61,1,台北市,104,2017,10,22,21.008625,791579.6488347049,2001,3,26,16,0,RPVPMLRJKIMFFCA48DA,25.048229,121.539491,,臺北市中山區長安東路二段１６２之１號６樓之１
中山區,房地(土地+建物),6.3,土地1建物1車位0,五層,十一層,1,住家用,鋼筋混凝土造,59.17,1,1,1,有,有,4500000,,0.0,0,親友、員工或其他特殊關係間之交易。,49.28,0.0,0.0,1,台北市,104,2017,10,11,17.898925,251411.74679484943,1977,3,22,40,0,RPUOMLKLKIMFFCA67CA,25.065078,121.525813,,臺北市中山區林森北路575號五樓之17
中山區,房地(土地+建物),47.09,土地1建物1車位0,二層,十二層,1,住家用,鋼筋混凝土造,155.72,3,2,2,有,有,21000000,,0.0,0,,77.76,0.0,8.22,1,台北市,104,2017,11,28,47.1053,445809.7071879385,2000,6,28,17,0,RPOPMLTLKIMFFCA08CA,25.0788604,121.5597847,,臺北市中山區敬業三路１６２巷１８６號二樓
中山區,房地(土地+建物),3.47,土地1建物1車位0,七層,十二層,5,商業用,鋼筋混凝土造,37.5,1,1,1,有,有,5330000,,0.0,0,含增建或未登記建物。,29.68,0.0,0.0,1,台北市,104,2017,11,28,11.34375,469862.25895316806,1981,4,10,36,0,RPSRMLSJJHNFFCA28CA,25.065404,121.527262,,臺北市中山區新生北路三段56巷1號7樓之7
中山區,房地(土地+建物),16.59,土地1建物1車位0,九層,十層,3,住家用,鋼筋混凝土造,117.72,4,2,1,有,有,18160000,,0.0,0,地政士僅受託買賣案件申請登記，並無代理撰擬不動產買賣契約書，係由不動產經紀業或權利人自行提供成交案件實際資訊，供地政士申報登錄。含增建或未登記建物。,94.05,3.24,11.19,1,台北市,104,2017,12,8,35.610299999999995,509964.81355113554,1987,1,22,30,0,RPQPMLPJKHNFFCA67CA,25.066604,121.523338,,臺北市中山區德惠街６號九樓
中山區,房地(土地+建物),6.85,土地1建物1車位0,五層,七層,5,住家用,鋼筋混凝土造,30.94,1,1,1,有,有,6200000,,0.0,0,買賣標的含有精緻裝潢，包含夾層設計、陽台外推、露台變更使用。,16.59,1.54,1.86,1,台北市,104,2018,1,26,9.35935,662439.165112962,2007,9,19,11,0,RPUOMLMKKHNFFCA77CA,25.057268,121.526531,,臺北市中山區民生東路一段７０巷１１號五樓之１２
中山區,房地(土地+建物),7.14,土地2建物1車位0,二層,十二層,5,住家用,鋼筋混凝土造,40.86,0,1,1,有,有,10200000,,0.0,0,,24.01,1.47,1.73,1,台北市,104,2018,1,10,12.36015,825232.7034866081,2008,10,15,10,0,RPPPMLNLKHNFFCA57CA,25.06409,121.5441,,臺北市中山區復興北路４４８號二樓之５
中山區,房地(土地+建物),4.78,土地1建物1車位0,八層,十二層,1,住家用,鋼筋混凝土造,50.760000000000005,1,1,1,有,有,10440000,,0.0,0,,27.68,1.44,5.09,1,台北市,104,2018,1,28,15.3549,679913.2524471015,2008,1,4,10,0,RPWOMLPKLHNFFCA38CA,25.088309,121.4692904,,臺北市中山區長春路247號八樓之7
中山區,房地(土地+建物),4.37,土地1建物1車位0,七層,八層,5,商業用,鋼筋混凝土造,34.03,1,1,1,有,有,6520000,,0.0,0,,22.5,0.0,3.54,1,台北市,104,2018,1,29,10.294075,633374.0525496464,1979,12,27,39,0,RPXPMLTJLHNFFCA98DA,25.06513,121.522016,,臺北市中山區中山北路3段55巷4樓7樓之3
中山區,房地(土地+建物),12.75,土地1建物1車位0,六層,九層,3,住家用,鋼筋混凝土造,69.33,0,0,0,無,有,12600000,,0.0,0,,37.0,3.28,4.33,1,台北市,104,2018,1,15,20.972325,600791.7577092669,2010,7,2,8,0,RPSQMLLKMHNFFCA87CA,25.0645675,121.5263672,,臺北市中山區林森北路557巷3號6樓
中山區,房地(土地+建物),3.56,土地1建物1車位0,八層,十四層,5,商業用,鋼筋混凝土造,38.57,1,1,1,有,有,9050000,,0.0,0,權利人姓名有難字、含增建或未登記建物。,23.17,1.57,0.0,1,台北市,104,2018,3,9,11.667425,775663.8675628941,2005,8,26,13,0,RPUPMLLMLHNFFCA08CA,25.063898,121.525282,,臺北市中山區林森北路５３８號八樓之１
中山區,房地(土地+建物),3.2,土地1建物1車位0,三層,十二層,5,住家用,鋼筋混凝土造,28.07,1,1,1,有,有,5650000,,0.0,0,含增建或未登記建物。,14.48,0.0,3.69,1,台北市,104,2018,3,11,8.491175,665396.7207129755,2008,9,25,10,0,RPOPMLRKMHNFFCA97CA,25.057277,121.527171,,臺北市中山區新生北路二段76號3樓
中山區,房地(土地+建物),5.42,土地1建物1車位0,十一層,十二層,1,住家用,鋼筋混凝土造,65.68,1,1,0,有,有,14000000,,0.0,0,含增建或未登記建物。,49.71,0.0,3.08,1,台北市,104,2018,4,24,19.8682,704643.601332783,1981,1,24,37,0,RPQSMLMKOHNFFCA28DA,25.049719,121.543742,,臺北市中山區復興北路５０號１１樓之２
中山區,房地(土地+建物),5.9,土地1建物1車位0,二層,十五層,5,住家用,鋼筋混凝土造,68.41,1,1,1,有,有,15600000,,0.0,0,含增建或未登記建物。,33.37,3.24,2.94,1,台北市,104,2018,5,11,20.694025,753840.78254472,2011,6,30,7,0,RPOSMLMKOHNFFCA08DA,25.054278,121.53205,,臺北市中山區撫順街１５號２樓之１
中山區,房地(土地+建物),6.11,土地1建物1車位0,九層,十三層,5,住家用,鋼筋混凝土造,47.13,1,1,1,有,有,12500000,,0.0,0,含增建或未登記建物。；,27.75,3.4,0.0,1,台北市,104,2018,5,25,14.256825,876773.0543090766,2010,3,18,8,0,RPSQMLMJPHNFFCA18CA,25.051368,121.536321,,臺北市中山區建國北路一段150號9樓
中山區,房地(土地+建物),47.85,土地1建物1車位0,一層,七層,3,住商用,鋼筋混凝土造,133.54000000000002,3,2,2,有,無,28750000,,0.0,0,,97.81,14.37,0.0,1,台北市,104,2018,6,8,40.39585,711706.7718589904,1983,4,27,35,0,RPQRMLTKPHNFFCA88CA,25.064407,121.532126,,臺北市中山區吉林路３４３巷３１號
中山區,房地(土地+建物),3.2,土地1建物1車位0,九層,十二層,1,住家用,鋼筋混凝土造,28.07,1,1,1,有,有,5500000,,0.0,0,,14.48,0.0,3.69,1,台北市,104,2018,6,23,8.491175,647731.3210480292,2008,9,25,10,0,RPPNMLKKPHNFFCA47CA,25.057277,121.527171,,臺北市中山區新生北路二段７６號九樓
中山區,房地(土地+建物),10.22,土地2建物1車位0,五層,十三層,1,住家用,鋼筋混凝土造,108.88,3,2,2,有,有,13800000,,0.0,0,,84.33,0.0,6.8,1,台北市,104,2018,5,13,32.9362,418991.8691288005,1984,9,27,34,0,RPVPMLQKPHNFFCA88CA,25.0596,121.526249,,臺北市中山區林森北路３９９巷１９號五樓之１
中山區,房地(土地+建物),12.58,土地1建物1車位0,四層,十二層,1,住家用,鋼筋混凝土造,81.13,2,1,1,有,有,13000000,,0.0,0,,62.65,1.37,5.89,1,台北市,104,2018,6,26,24.541825,529707.957741529,1987,12,17,31,0,RPPNMLKMPHNFFCA77DA,25.048712,121.528544,,臺北市中山區新生北路一段１０２巷１０號４樓之１
中山區,房地(土地+建物),15.83,土地2建物1車位0,八層,十二層,1,住家用,鋼筋混凝土造,99.16,2,2,1,有,有,16500000,,0.0,0,含增建或未登記建物。,87.45,0.0,8.45,1,台北市,104,2018,6,25,29.9959,550075.1769408486,1984,3,19,34,0,RPTSMLQJQHNFFCA09DA,25.062818,121.528364,,臺北市中山區民權東路二段３號８樓
中山區,房地(土地+建物),17.69,土地1建物1車位0,六層,七層,3,住家用,鋼筋混凝土造,93.91,2,2,2,有,有,18500000,,0.0,0,,80.31,0.0,13.6,1,台北市,104,2018,7,16,28.407775,651230.1649812419,1982,7,23,36,0,RPRPMLQJQHNFFCA48CA,25.065358,121.536096,,臺北市中山區建國北路三段64號六樓
中山區,房地(土地+建物)+車位,33.77,土地2建物1車位2,七層，見其他登記事項,七層,3,住家用,鋼筋混凝土造,201.19,2,2,2,有,有,57000000,其他,38.4,3600000,親友、員工或其他特殊關係間之交易。；,83.03,9.85,7.05,1,台北市,104,2018,7,17,60.859975,936576.1323431368,2018,5,1,0,1,RPWPMLNKRHNFFCA88CA,25.047965,121.535114,,臺北市中山區建國北路一段５０巷２７號七樓
中山區,房地(土地+建物),3.74,土地1建物1車位0,四層,十二層,1,商業用,鋼筋混凝土造,39.63,1,1,1,有,有,6000000,,0.0,0,,28.41,0.0,3.55,1,台北市,104,2018,6,15,11.988075,500497.3692607028,1981,4,10,37,0,RPSPMLRKQHNFFCA78CA,25.065404,121.527262,,臺北市中山區新生北路三段56巷1號四樓之11
中山區,房地(土地+建物),16.93,土地1建物1車位0,六層,七層,3,住商用,鋼筋混凝土造,84.03999999999999,2,2,2,有,有,16500000,,0.0,0,含增建或未登記建物。；,63.28,0.0,9.21,1,台北市,104,2018,7,3,25.4221,649041.5819306823,1978,12,14,40,0,RPWQMLTJQHNFFCA76CA,25.062569,121.541707,,臺北市中山區民權東路三段21號6樓之6
中山區,房地(土地+建物)+車位,15.07,土地1建物1車位1,十四層,十五層,1,住家用,鋼筋混凝土造,205.12,3,2,2,有,有,43080000,坡道平面,39.62,2500000,含增建或未登記建物。,96.6,7.53,7.34,1,台北市,104,2018,7,13,62.0488,694292.2344992973,2012,3,27,6,1,RPPOMLSLQHNFFCA68DA,25.056361,121.526333,,臺北市中山區雙城街１３巷１１號１４樓之１
中山區,房地(土地+建物)+車位,17.9,土地3建物1車位2,二十一層,二十四層,1,住家用,見其他登記事項,260.0,4,2,2,有,有,78770000,坡道平面,76.48,5300000,,117.84,0.0,12.72,1,台北市,104,2018,7,20,78.64999999999999,1001525.7469802924,2017,12,8,1,1,RPROMLSLRHNFFCA88CA,25.052338,121.528844,,臺北市中山區南京東路二段２３號二十一樓之３
中山區,房地(土地+建物),13.66,土地1建物1車位0,六層,六層,3,住家用,鋼筋混凝土造,61.96,2,1,1,有,無,14500000,,0.0,0,,48.7,1.45,5.53,1,台北市,104,2018,8,27,18.7429,773626.2798179578,1985,11,7,33,0,RPQOMLRLRHNFFCA68CA,25.053981,121.542969,,臺北市中山區遼寧街１９９巷２１號六樓
中山區,房地(土地+建物)+車位,9.81,土地1建物1車位1,六層,十層,5,商業用,鋼筋混凝土造,48.79,0,0,0,無,有,7100000,塔式車位,15.86,1300000,含增建或未登記建物。,14.36,0.0,4.7,1,台北市,104,2018,8,25,14.758975,481063.2174659826,2007,10,11,11,1,RPQVMLRLRHNFFCA76CA,25.0834059,121.551155,,臺北市中山區明水路650號6樓之6
中山區,房地(土地+建物)+車位,66.87,土地1建物1車位3,二十一層,四十二層,1,住家用,見其他登記事項,593.98,0,0,0,無,有,288750000,坡道平面,113.7,9600000,,298.09,0.0,40.46,1,台北市,104,2018,9,13,179.67895,1607032.9885609862,2014,12,29,4,1,RPXQMLPLIINFFCA58CA,25.081101,121.559496,,臺北市中山區植福路２８６巷３２號二十一樓
中山區,房地(土地+建物)+車位,48.84,土地2建物1車位2,十三層,十三層,1,住家用,鋼筋混凝土造,322.63,2,2,2,有,有,62000000,坡道平面,87.08,0,二個車位總價400萬元未拆分單價,130.04,12.63,10.51,1,台北市,104,2018,7,16,97.595575,635274.7037967654,2010,4,23,8,1,RPQQMLQLIINFFCA97CA,25.045512,121.542582,,臺北市中山區八德路二段３００巷５８號十三樓
中山區,房地(土地+建物),3.93,土地1建物1車位0,四層,十二層,5,商業用,鋼筋混凝土造,43.97,0,0,0,無,有,7520000,,0.0,0,,26.38,0.0,5.69,1,台北市,104,2018,8,27,13.300925,565374.2126957336,1982,12,9,36,0,RPTOMLMKIINFFCA57CA,25.065656,121.52738,,臺北市中山區新生北路三段５８號四樓之１０
